playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,WHIP,K_per_9,BB_per_9,K_BB_ratio,ERA_calc,FIP,OBA,QS_pct,H_per_9,HR_per_9,SO_per_BB,ERA_minus,FIP_minus,BF,K_pct
pocheco01,2024,1,TBA,AL,1,2,43,0,0,0,2,112,30,16,7,13,33,0.217,3.86,2,1,0,0,153,7,16,0,2,3,37.333333333333336,1.152,7.955,3.134,2.538,3.857,4.814,0.196,NA,7.232,1.688,2.538,91.3,122.7,46,71.7
popza01,2024,1,TOR,AL,2,4,58,0,0,0,1,145,45,30,9,19,33,0.243,5.59,4,1,2,1,209,12,36,1,2,7,48.333333333333336,1.324,6.145,3.538,1.737,5.586,5.334,0.215,NA,8.379,1.676,1.737,132.2,135.9,52,63.5
povicca01,2024,1,BAL,AL,3,9,16,16,0,0,0,239,80,46,12,34,69,0.256,5.2,1,1,3,0,352,0,49,0,2,4,79.66666666666667,1.431,7.795,3.841,2.029,5.197,4.606,0.227,NA,9.038,1.356,2.029,122.9,117.4,103,67
pressry01,2024,1,HOU,AL,2,3,59,0,0,0,4,170,58,22,4,18,58,0.262,3.49,0,7,2,0,244,8,25,1,2,5,56.666666666666664,1.341,9.212,2.859,3.222,3.494,2.924,0.238,NA,9.212,0.635,3.222,82.5,74.5,76,76.3
priesqu01,2024,1,PIT,NL,2,6,10,6,0,0,0,134,52,25,7,13,31,0.283,5.04,0,1,2,0,201,1,29,0,2,2,44.666666666666664,1.455,6.246,2.619,2.385,5.037,4.622,0.259,NA,10.478,1.41,2.385,119.2,117.8,44,70.5
pukaj01,2024,2,ARI,NL,0,1,30,0,0,0,2,82,15,4,2,5,43,0.155,1.32,2,0,1,0,103,5,4,0,0,0,27.333333333333332,0.732,14.159,1.646,8.6,1.317,1.454,0.146,NA,4.939,0.659,8.6,31.2,37,48,89.6
pukaj01,2024,1,MIA,NL,4,8,32,4,0,0,1,132,36,21,3,23,45,0.218,4.3,0,2,1,1,191,4,27,1,1,2,44,1.341,9.205,4.705,1.957,4.295,3.509,0.188,NA,7.364,0.614,1.957,101.7,89.4,68,66.2
quantca01,2024,1,COL,NL,8,11,29,29,0,0,0,445,156,82,23,69,110,0.273,4.98,0,6,11,1,656,0,83,2,3,17,148.33333333333334,1.517,6.674,4.187,1.594,4.975,5.028,0.238,NA,9.465,1.396,1.594,117.7,128.1,179,61.5
quijajo01,2024,1,LAA,AL,2,2,22,0,0,0,0,58,12,7,1,17,24,0.19,3.26,0,0,2,1,84,5,9,1,1,5,19.333333333333332,1.5,11.172,7.914,1.412,3.259,3.928,0.143,NA,5.586,0.466,1.412,77.1,100.1,41,58.5
quintjo01,2024,1,NYN,NL,10,10,31,31,0,0,0,511,150,71,22,63,135,0.237,3.75,0,7,11,0,717,0,73,4,5,19,170.33333333333334,1.25,7.133,3.329,2.143,3.751,4.304,0.209,NA,7.926,1.162,2.143,88.7,109.7,198,68.2
raganco01,2024,1,KCA,AL,11,9,32,32,1,0,0,559,146,65,15,67,223,0.213,3.14,1,11,6,0,762,0,71,3,1,11,186.33333333333337,1.143,10.771,3.236,3.328,3.14,2.832,0.192,NA,7.052,0.725,3.328,74.2,72.2,290,76.9
raineta01,2024,1,WAS,NL,0,0,50,0,0,0,0,153,47,27,8,29,44,0.239,4.76,1,5,4,0,231,30,28,0,1,2,51,1.49,7.765,5.118,1.517,4.765,5.12,0.203,NA,8.294,1.412,1.517,112.5,130.5,73,60.3
raleybr01,2024,1,NYN,NL,1,0,8,0,0,0,0,21,2,0,0,3,9,0.095,0,0,0,0,0,25,1,0,0,1,1,7,0.714,11.571,3.857,3,0,1.814,0.08,NA,2.571,0,3,0,46.2,12,75
ramirem01,2024,1,MIA,NL,0,1,15,0,0,0,0,62,21,16,3,8,21,0.263,6.97,0,2,3,0,92,2,17,0,1,1,20.666666666666668,1.403,9.145,3.484,2.625,6.968,4.116,0.228,NA,9.145,1.306,2.625,164.8,104.9,29,72.4
ramirer02,2024,1,TBA,AL,3,0,13,0,0,0,1,62,12,10,5,10,15,0.164,4.35,1,2,1,0,85,10,12,0,1,2,20.666666666666668,1.065,6.532,4.355,1.5,4.355,6.245,0.141,NA,5.226,2.177,1.5,102.8,159.1,25,60
ramirni01,2024,1,LAN,NL,0,0,8,0,0,0,0,40,18,9,0,7,5,0.333,6.08,1,2,0,0,63,7,11,0,2,1,13.333333333333334,1.875,3.375,4.725,0.714,6.075,3.925,0.286,NA,12.15,0,0.714,143.7,100,12,41.7
ramiryo01,2024,3,LAN,NL,0,4,27,0,0,0,1,88,32,18,3,11,27,0.283,5.52,1,1,7,0,134,8,21,2,1,5,29.333333333333332,1.466,8.284,3.375,2.455,5.523,3.714,0.239,NA,9.818,0.92,2.455,130.5,94.6,38,71.1
rasmudr01,2024,1,TBA,AL,0,2,16,4,0,0,1,86,25,9,0,6,35,0.229,2.83,0,1,0,0,116,5,10,0,1,1,28.666666666666668,1.081,10.988,1.884,5.833,2.826,1.286,0.216,NA,7.849,0,5.833,66.9,32.8,41,85.4
rayro02,2024,1,SFN,NL,3,2,7,7,0,0,0,92,20,16,6,15,43,0.187,4.7,0,4,6,0,129,0,16,0,1,1,30.666666666666668,1.141,12.62,4.402,2.867,4.696,4.307,0.155,NA,5.87,1.761,2.867,111.1,109.7,58,74.1
reaco01,2024,1,MIL,NL,12,6,32,27,0,0,1,503,169,80,29,43,135,0.258,4.29,1,2,10,0,714,1,83,1,4,13,167.66666666666666,1.264,7.247,2.308,3.14,4.294,4.508,0.237,NA,9.072,1.557,3.14,101.4,114.9,178,75.8
reidfse01,2024,1,NYN,NL,1,2,23,0,0,0,0,65,13,4,0,14,25,0.173,1.66,0,1,0,0,90,9,10,0,1,1,21.666666666666668,1.246,10.385,5.815,1.786,1.662,2.731,0.144,NA,5.4,0,1.786,39.2,69.6,39,64.1
reynose01,2024,1,SDN,NL,0,0,9,0,0,0,0,33,10,1,0,5,21,0.238,0.82,0,0,1,0,49,3,1,0,1,0,11,1.364,17.182,4.091,4.2,0.818,0.645,0.204,NA,8.182,0,4.2,19.4,16.4,26,80.8
richatr01,2024,2,MIN,AL,0,1,10,0,0,0,1,39,8,6,0,11,13,0.182,4.15,0,7,2,0,59,3,6,0,2,0,13,1.462,9,7.615,1.182,4.154,3.638,0.136,NA,5.538,0,1.182,98.1,92.7,24,54.2
richatr01,2024,1,TOR,AL,2,1,45,2,0,0,0,157,36,27,7,24,49,0.188,4.64,0,6,0,0,218,4,30,1,2,0,52.333333333333336,1.146,8.427,4.127,2.042,4.643,4.342,0.165,NA,6.191,1.204,2.042,109.7,110.6,73,67.1
roberda08,2024,1,TEX,AL,3,4,68,0,0,0,2,216,53,24,5,27,99,0.202,3,4,8,5,1,296,8,25,0,1,4,72,1.111,12.375,3.375,3.667,3,2.378,0.179,NA,6.625,0.625,3.667,70.9,60.6,126,78.6
roberet01,2024,1,CHN,NL,1,1,21,0,0,0,0,80,31,11,3,10,26,0.29,3.71,0,1,1,0,118,6,11,0,0,2,26.666666666666668,1.537,8.775,3.375,2.6,3.712,3.737,0.263,NA,10.462,1.012,2.6,87.7,95.2,36,72.2
roberni01,2024,1,SLN,NL,0,0,8,0,0,0,0,37,15,6,3,2,14,0.306,4.38,0,0,0,0,52,6,6,0,1,1,12.333333333333334,1.378,10.216,1.459,7,4.378,4.478,0.288,NA,10.946,2.189,7,103.5,114.1,16,87.5
rodonca01,2024,1,NYA,AL,16,9,32,32,0,0,0,525,157,77,31,57,195,0.235,3.96,0,3,10,2,736,0,81,0,2,8,175,1.223,10.029,2.931,3.421,3.96,4.151,0.213,NA,8.074,1.594,3.421,93.6,105.8,252,77.4
rodried05,2024,1,ARI,NL,3,4,10,10,0,0,0,150,56,28,8,19,47,0.277,5.04,1,0,1,0,224,0,29,1,1,2,50,1.5,8.46,3.42,2.474,5.04,4.44,0.25,NA,10.08,1.44,2.474,119.2,113.1,66,71.2
rodrigr01,2024,1,BAL,AL,13,4,20,20,0,0,0,350,109,50,15,36,130,0.243,3.86,0,6,5,0,491,0,52,0,1,10,116.66666666666669,1.243,10.029,2.777,3.611,3.857,3.469,0.222,NA,8.409,1.157,3.611,91.3,88.4,166,78.3
rodrijo04,2024,1,BOS,AL,0,1,14,0,0,0,0,41,19,9,3,2,12,0.317,5.93,0,1,1,0,64,2,13,0,1,1,13.666666666666666,1.537,7.902,1.317,6,5.927,4.637,0.297,NA,12.512,1.976,6,140.2,118.2,14,85.7
rodrima01,2024,1,TBA,AL,3,4,40,0,0,0,2,113,29,9,3,11,34,0.209,2.15,1,2,5,0,158,12,13,2,1,4,37.666666666666664,1.062,8.124,2.628,3.091,2.15,3.206,0.184,NA,6.929,0.717,3.091,50.8,81.7,45,75.6
rodrira02,2024,1,SFN,NL,3,2,35,1,0,0,0,157,47,25,4,18,53,0.239,4.3,0,4,3,0,221,8,29,1,2,3,52.333333333333336,1.242,9.115,3.096,2.944,4.299,3.1,0.213,NA,8.083,0.688,2.944,101.7,79,71,74.6
rodriya01,2024,1,TOR,AL,1,8,21,21,0,0,0,260,74,43,11,40,85,0.228,4.47,0,0,3,2,368,0,46,0,1,6,86.66666666666667,1.315,8.827,4.154,2.125,4.465,4.173,0.201,NA,7.685,1.142,2.125,105.7,106.3,125,68
rodriye01,2024,1,TEX,AL,1,0,12,0,0,0,0,51,16,13,5,11,12,0.242,6.88,1,2,1,0,78,4,13,0,0,1,17,1.588,6.353,5.824,1.091,6.882,7.453,0.205,NA,8.471,2.647,1.091,162.7,189.9,23,52.2
rogerta01,2024,1,SFN,NL,1,4,64,0,0,0,0,180,53,16,7,22,64,0.237,2.4,0,0,2,0,249,16,22,0,1,8,60,1.25,9.6,3.3,2.909,2.4,3.583,0.213,NA,7.95,1.05,2.909,56.7,91.3,86,74.4
rogertr01,2024,1,MIA,NL,2,9,21,21,0,0,0,316,115,53,12,46,85,0.276,4.53,2,1,3,1,472,0,58,0,6,6,105.33333333333331,1.528,7.263,3.93,1.848,4.528,4.277,0.244,NA,9.826,1.025,1.848,107.1,109,131,64.9
